Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_Production volume_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
FRA,2017,-0.1299999999999999,0.06999999999999984,-0.17374804485854056,137.875,0.0032849299165516044,-0.11775716832155325,-0.2154168887460307,0.0028298830070899728,-0.3000000000000007,0.8848960546031396
FRA,2018,-0.1299999999999999,-0.1299999999999999,0.13653797565989406,223.29999999999927,0.018588661104906645,3.6878503671537928,0.8848960546031396,-0.017174353025598,-0.6416666666666675,-0.23581165126572468
FRA,2019,0.010000000000000009,-0.1299999999999999,-0.13737161067950526,218.40000000000146,0.025986005140650192,-2.3989713109427555,-0.23581165126572468,-0.039782688743019934,-0.3999999999999986,0.20848646354521705
FRA,2020,-0.3600000000000001,0.010000000000000009,1.4236310976814908,110.79999999999927,0.0038038552019021843,0.45712985345887347,0.20848646354521705,0.04602388604209795,-0.5750000000000011,
GBR,2002,-0.9199999999999999,0.96,0.07074738505807465,228.0,0.021220955482885717,1.1635938025076626,-0.6377597044928037,0.03371824098240406,-0.375,-0.33579659738548184
GBR,2003,0.06999999999999984,-0.9199999999999999,-0.20736870667657237,232.5,0.013037994338129799,0.7999675370594233,-0.33579659738548184,-0.027746917195999976,0.09999999999999964,0.6329959914227736
GBR,2004,-0.2799999999999998,0.06999999999999984,0.16043644540625412,279.0,0.01159059981490973,2.1819215036424353,0.6329959914227736,-0.05426343256555399,-0.14999999999999947,-0.324762380069357
GBR,2005,0.21999999999999975,-0.2799999999999998,-0.48586580260745316,310.25,0.013986241974739855,-1.1065342555978503,-0.324762380069357,-0.066531664741728,-0.27500000000000036,0.18211821100612646
GBR,2006,-0.16000000000000014,0.21999999999999975,0.32326834170613195,320.0,0.028626721426436852,0.3116467623344761,0.18211821100612646,0.004355821837703,0.04999999999999982,-0.24245630324847733
GBR,2007,-0.05999999999999961,-0.16000000000000014,-1.1131435008309976,287.5,0.02902259322634393,5.657452288597689,-0.24245630324847733,-0.006720921505977029,0.625,0.29149347282615257
GBR,2008,-0.5200000000000002,-0.05999999999999961,-0.6087316432816223,238.0,0.021227212130573214,-3.073639945357918,0.29149347282615257,-0.04363397077062203,-0.09999999999999964,
GBR,2012,-0.13000000000000012,-0.5399999999999998,1.1237040599532546,147.5,0.050537068996356016,-10.762162379757548,-0.976434668306358,-0.023652925214881937,0.25,0.5849589615335742
GBR,2013,0.030000000000000027,-0.13000000000000012,-1.4859056436910005,319.75,0.012245050960100201,-0.40854214998359595,0.5849589615335742,0.007267417184264935,-0.15000000000000036,0.11730408021545269
GBR,2014,0.5399999999999998,0.030000000000000027,-1.3979650962479524,347.5,0.019086465890540527,3.19269180599683,0.11730408021545269,0.008668835850744072,-0.375,0.6091927898326825
GBR,2015,-0.009999999999999787,0.5399999999999998,-0.30126045560793546,710.75,0.005952398527295344,3.3315974310611125,0.6091927898326825,-0.03238169239757904,-1.4249999999999998,-0.3896315798893921
GBR,2016,0.06999999999999984,-0.009999999999999787,0.0332946283958826,532.5,-0.006947918768796857,0.7665829873954095,-0.3896315798893921,0.04713213976723796,-0.8250000000000002,0.030421362756695047
GBR,2017,-0.1299999999999999,0.06999999999999984,-0.4626506312624876,460.5,0.015810606026642304,-0.6710951979489863,0.030421362756695047,0.08645663167388207,-0.4499999999999993,0.3149064975346191
GBR,2018,-0.1299999999999999,-0.1299999999999999,1.865609265956388,315.0,0.04035129552356764,2.41583026418391,0.3149064975346191,0.03561164828408292,-0.47500000000000053,-0.6672099614357981
GBR,2019,0.010000000000000009,-0.1299999999999999,-0.3432926746276541,382.5,0.019581045199106306,1.0548134656530053,-0.6672099614357981,-0.02682057522429293,-0.3250000000000002,-0.21094314118350593
GBR,2020,-0.56,0.010000000000000009,1.2432706880242632,475.75,0.011019395249610486,0.3952743116087518,-0.21094314118350593,0.03386509540278593,-0.27499999999999947,
GRC,2004,-0.2799999999999998,0.06999999999999984,-1.5285823185670582,88.40000000000055,0.03196792149400984,-13.540283253879437,0.21334181019035148,-0.175901916093541,-0.5916666666666295,-0.07501834390022766
GRC,2005,0.21999999999999975,-0.2799999999999998,0.9168345064388346,36.125,0.0199425454654083,-17.485987802252396,-0.07501834390022766,-0.08030112249246601,0.8666666666666298,-1.5138102456584608
GRC,2006,-0.16000000000000014,0.21999999999999975,-1.3949932170302164,54.19999999999982,0.041016742589853994,-38.369116428152324,-1.5138102456584608,-0.00024267915778097837,-0.5999999999999996,1.6945745649784423
GRC,2007,-0.05999999999999961,-0.16000000000000014,-2.6504741125851634,84.02499999999964,0.026366544872931108,10.346144665625943,1.6945745649784423,-0.007922194316820064,-0.9749999999999712,-0.6083320828815291
GRC,2008,-0.5200000000000002,-0.05999999999999961,-3.265237049791704,36.45000000000073,0.02430773407513298,10.962046321649922,-0.6083320828815291,-0.06621179361352492,-0.6166666666666689,-4.111149051993111
GRC,2009,0.13000000000000012,-0.5200000000000002,0.0574776118680127,46.399999999999636,0.052390076390492535,-0.6646941482175208,-4.111149051993111,-0.046503087324034076,-0.6499999999999906,
